Index,Mean Regression,Linear Regression,50 Day Average,100 Day Average,150 Day Average,200 Day Average
Nifty Auto,-0.007009085,0.21264819,-0.3274523,-0.028616823,-0.018088257,-0.093936932
Nifty Bank,-0.038936742,0.413587533,-1.469735951,-1.524856994,-1.434001819,-1.304183457
Nifty FMCG,-6.67E-05,0.063178592,-0.226737337,-0.017045945,-0.101516189,-0.155741184
Nifty Media,-0.012496952,0.01571307,-0.836363824,-0.274758384,-0.036712393,-2.59E-05
Nifty Midcap 50,-0.001694719,0.014872156,-1.107000048,-0.89246163,-0.796060626,-0.828001433
Nifty,-0.010575319,0.005710544,-0.001319657,-0.002399949,-1.74E-05,-0.000194878
Nifty IT,-0.06723931,0.212179402,-0.246003333,-0.262836235,-0.291935257,-0.306321811
Nifty Pharma,-0.023032239,0.055667531,-1.51870969,-1.50329293,-1.483091005,-1.290287408
Nifty Realty,-0.12412889,0.301374078,-0.117245238,-0.120567293,-0.121589329,-0.120868251
