,Index,P-Value
0,Nifty Auto,0.32236980299880824
1,Nifty Bank,0.10476873370465845
2,Nifty FMCG,0.012465454908740795
3,Nifty Media,0.29460291282272166
4,Nifty Midcap 50,0.2973543497605414
5,Nifty,0.03808794258737196
6,Nifty IT,4.364251519733004e-09
7,Nifty Pharma,0.7097610725875517
8,Nifty Realty,0.038935157586127686
